"Species","Date","Sex","Wing","Culmen","Mass","lat","lon","kilometers_shore","shr_bin"
"APAP","20-Jun-19","F",70,16.2,15.2,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","19-Jun-19","M",76,17.4,NA,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","18-Jun-19","F",60,13.1,NA,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","20-Jun-19","F",61,13.2,NA,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","18-Jun-19","F",66,13.9,12.4,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","20-Jun-19","M",67,15,12.4,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","19-Jun-19","M",63,14.6,NA,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","18-Jun-19","M",75,16.2,14.7,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","18-Jun-19","M",64,14.1,12.3,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","18-Jun-19","F",70,16.9,16,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","19-Jun-19","F",72,17,16,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","20-Jun-19","F",69,17.3,16,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","18-Jun-19","M",65,15.6,NA,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"IIWI","18-Jun-19","F",70,24.1,12.7,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","18-Jun-19","F",60,13.1,12.9,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","18-Jun-19","F",63,13.1,10.8,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","19-Jun-19","M",76,17.5,14.7,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","19-Jun-19","F",63,13.8,10.9,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","19-Jun-19","F",59,14.2,11.6,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","19-Jun-19","F",57,14.1,10.4,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","19-Jun-19","F",62,14,11.7,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","20-Jun-19","F",62,13.6,11.7,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","19-Jun-19","F",62,14.3,NA,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","19-Jun-19","M",75,17.6,12.9,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","19-Jun-19","M",80,16.8,15.6,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","19-Jun-19","M",76,17.3,15.2,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","19-Jun-19","M",78,17.7,15.6,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","19-Jun-19","F",65,16.3,14.8,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","20-Jun-19","F",61,14.6,11.2,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"APAP","20-Jun-19","M",76,15.9,14.3,19.7142145607864,-155.914711351345,1.53754699799951,"near"
"HAAM","26-Feb-20","M",65,15.4,12,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","F",58,12.5,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",67,16.3,12.7,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","F",66,14.4,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",65,14.6,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","F",64,14.7,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",63,15,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",64,16.6,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",63,16,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",66,13.7,12.4,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",65,14.3,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",65,14.3,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
